[TIMING] Step 269: total=0.84 ms, inference=0.07 ms
[TIMING] Step 270: total=0.80 ms, inference=0.07 ms
[TIMING] Step 271: total=0.86 ms, inference=0.07 ms
[TIMING] Step 272: total=0.80 ms, inference=0.07 ms
[TIMING] Step 273: total=0.84 ms, inference=0.07 ms
[TIMING] Step 274: total=1.44 ms, inference=0.07 ms
[TIMING] Step 275: total=0.40 ms, inference=0.06 ms
[TIMING] Step 276: total=0.66 ms, inference=0.08 ms
[TIMING] Step 277: total=0.78 ms, inference=0.07 ms
[TIMING] Step 278: total=0.83 ms, inference=0.06 ms
[TIMING] Step 279: total=0.88 ms, inference=0.07 ms
[TIMING] Step 280: total=0.78 ms, inference=0.08 ms
[TIMING] Step 281: total=0.77 ms, inference=0.07 ms
[TIMING] Step 282: total=0.84 ms, inference=0.07 ms
[TIMING] Step 283: total=0.90 ms, inference=0.08 ms
[TIMING] Step 284: total=0.76 ms, inference=0.08 ms
[TIMING] Step 285: total=0.77 ms, inference=0.07 ms
[TIMING] Step 286: total=0.83 ms, inference=0.07 ms
[TIMING] Step 287: total=0.85 ms, inference=0.06 ms
[TIMING] Step 288: total=0.82 ms, inference=0.07 ms
[TIMING] Step 289: total=0.84 ms, inference=0.07 ms
[TIMING] Step 290: total=0.81 ms, inference=0.06 ms
[TIMING] Step 291: total=1.34 ms, inference=0.07 ms
[TIMING] Step 292: total=0.34 ms, inference=0.06 ms
[TIMING] Step 293: total=0.82 ms, inference=0.06 ms
[TIMING] Step 294: total=0.84 ms, inference=0.07 ms
[TIMING] Step 295: total=0.86 ms, inference=0.06 ms
[TIMING] Step 296: total=0.80 ms, inference=0.07 ms
[TIMING] Step 297: total=0.84 ms, inference=0.06 ms
[TIMING] Step 298: total=0.82 ms, inference=0.06 ms
[TIMING] Step 299: total=0.98 ms, inference=0.07 ms
[TIMING] Step 300: total=0.69 ms, inference=0.07 ms
[TIMING] Step 301: total=0.83 ms, inference=0.06 ms
[TIMING] Step 302: total=0.82 ms, inference=0.07 ms
[TIMING] Step 303: total=0.89 ms, inference=0.06 ms
[TIMING] Step 304: total=0.80 ms, inference=0.07 ms
[TIMING] Step 305: total=0.78 ms, inference=0.07 ms
[TIMING] Step 306: total=0.84 ms, inference=0.07 ms
[TIMING] Step 307: total=0.91 ms, inference=0.07 ms
[TIMING] Step 308: total=1.14 ms, inference=0.07 ms
[TIMING] Step 309: total=0.45 ms, inference=0.07 ms
[TIMING] Step 310: total=0.76 ms, inference=0.07 ms
[TIMING] Step 311: total=0.85 ms, inference=0.07 ms
[TIMING] Step 312: total=0.83 ms, inference=0.07 ms
[TIMING] Step 313: total=0.83 ms, inference=0.06 ms
[TIMING] Step 314: total=0.90 ms, inference=0.07 ms
[TIMING] Step 315: total=0.77 ms, inference=0.06 ms
[TIMING] Step 316: total=0.79 ms, inference=0.07 ms
[TIMING] Step 317: total=0.83 ms, inference=0.07 ms
[TIMING] Step 318: total=0.79 ms, inference=0.07 ms
[TIMING] Step 319: total=0.86 ms, inference=0.06 ms
[TIMING] Step 320: total=0.79 ms, inference=0.07 ms
[TIMING] Step 321: total=0.83 ms, inference=0.07 ms
[TIMING] Step 322: total=0.82 ms, inference=0.06 ms
[TIMING] Step 323: total=0.88 ms, inference=0.07 ms
[TIMING] Step 324: total=0.81 ms, inference=0.07 ms
[TIMING] Step 325: total=1.19 ms, inference=0.07 ms
[TIMING] Step 326: total=0.51 ms, inference=0.07 ms
[TIMING] Step 327: total=0.90 ms, inference=0.07 ms
[TIMING] Step 328: total=0.77 ms, inference=0.07 ms
[TIMING] Step 329: total=0.85 ms, inference=0.07 ms
[TIMING] Step 330: total=0.79 ms, inference=0.07 ms
[TIMING] Step 331: total=0.83 ms, inference=0.07 ms
[TIMING] Step 332: total=0.86 ms, inference=0.09 ms
[TIMING] Step 333: total=0.73 ms, inference=0.07 ms
[TIMING] Step 334: total=0.80 ms, inference=0.07 ms
[TIMING] Step 335: total=0.89 ms, inference=0.07 ms
[TIMING] Step 336: total=0.85 ms, inference=0.09 ms
[TIMING] Step 337: total=0.70 ms, inference=0.07 ms
[TIMING] Step 338: total=0.82 ms, inference=0.06 ms
[TIMING] Step 339: total=0.90 ms, inference=0.06 ms
[TIMING] Step 340: total=0.79 ms, inference=0.07 ms
[TIMING] Step 341: total=0.82 ms, inference=0.06 ms
[TIMING] Step 342: total=1.15 ms, inference=0.06 ms
[TIMING] Step 343: total=0.60 ms, inference=0.06 ms
[TIMING] Step 344: total=0.81 ms, inference=0.07 ms
[TIMING] Step 345: total=0.82 ms, inference=0.06 ms
[TIMING] Step 346: total=0.85 ms, inference=0.06 ms
[TIMING] Step 347: total=0.83 ms, inference=0.06 ms
[TIMING] Step 348: total=0.83 ms, inference=0.06 ms
[TIMING] Step 349: total=0.84 ms, inference=0.06 ms
[TIMING] Step 350: total=0.84 ms, inference=0.06 ms
[TIMING] Step 351: total=0.88 ms, inference=0.06 ms
[TIMING] Step 352: total=0.83 ms, inference=0.07 ms
[TIMING] Step 353: total=0.82 ms, inference=0.06 ms
[TIMING] Step 354: total=0.85 ms, inference=0.06 ms
[TIMING] Step 355: total=0.87 ms, inference=0.06 ms
[TIMING] Step 356: total=0.90 ms, inference=0.10 ms
[TIMING] Step 357: total=0.72 ms, inference=0.08 ms
[TIMING] Step 358: total=0.76 ms, inference=0.07 ms
[TIMING] Step 359: total=1.13 ms, inference=0.07 ms
[TIMING] Step 360: total=0.52 ms, inference=0.07 ms
[TIMING] Step 361: total=0.80 ms, inference=0.07 ms
[TIMING] Step 362: total=0.83 ms, inference=0.06 ms
[TIMING] Step 363: total=0.88 ms, inference=0.06 ms
[TIMING] Step 364: total=0.81 ms, inference=0.06 ms
[TIMING] Step 365: total=0.84 ms, inference=0.06 ms
[TIMING] Step 366: total=0.84 ms, inference=0.06 ms
[TIMING] Step 367: total=1.09 ms, inference=0.06 ms
[TIMING] Step 368: total=0.60 ms, inference=0.07 ms
[TIMING] Step 369: total=0.81 ms, inference=0.07 ms
[TIMING] Step 370: total=0.80 ms, inference=0.06 ms
[TIMING] Step 371: total=0.86 ms, inference=0.06 ms
[TIMING] Step 372: total=0.83 ms, inference=0.07 ms
[TIMING] Step 373: total=0.85 ms, inference=0.06 ms
[TIMING] Step 374: total=0.92 ms, inference=0.08 ms
[TIMING] Step 375: total=0.90 ms, inference=0.11 ms
[TIMING] Step 376: total=0.89 ms, inference=0.12 ms
[TIMING] Step 377: total=0.51 ms, inference=0.11 ms
[TIMING] Step 378: total=0.73 ms, inference=0.11 ms
[TIMING] Step 379: total=0.65 ms, inference=0.12 ms
[TIMING] Step 380: total=0.54 ms, inference=0.08 ms
[TIMING] Step 381: total=0.81 ms, inference=0.07 ms
[TIMING] Step 382: total=0.87 ms, inference=0.07 ms
[TIMING] Step 383: total=0.81 ms, inference=0.08 ms
[TIMING] Step 384: total=0.77 ms, inference=0.08 ms
[TIMING] Step 385: total=0.78 ms, inference=0.06 ms
[TIMING] Step 386: total=0.85 ms, inference=0.06 ms
[TIMING] Step 387: total=0.88 ms, inference=0.06 ms
[TIMING] Step 388: total=0.78 ms, inference=0.08 ms
[TIMING] Step 389: total=0.88 ms, inference=0.07 ms
[TIMING] Step 390: total=0.90 ms, inference=0.11 ms
[TIMING] Step 391: total=0.59 ms, inference=0.07 ms
[TIMING] Step 392: total=0.74 ms, inference=0.07 ms
[TIMING] Step 393: total=0.82 ms, inference=0.06 ms
[TIMING] Step 394: total=0.88 ms, inference=0.06 ms
[TIMING] Step 395: total=0.84 ms, inference=0.06 ms
[TIMING] Step 396: total=0.79 ms, inference=0.06 ms
[TIMING] Step 397: total=0.82 ms, inference=0.06 ms
[TIMING] Step 398: total=0.86 ms, inference=0.06 ms
[TIMING] Step 399: total=0.91 ms, inference=0.06 ms
[TIMING] Step 400: total=0.80 ms, inference=0.08 ms
[TIMING] Step 401: total=0.78 ms, inference=0.07 ms
[TIMING] Step 402: total=0.83 ms, inference=0.06 ms
[TIMING] Step 403: total=0.89 ms, inference=0.06 ms
[TIMING] Step 404: total=0.86 ms, inference=0.06 ms
[TIMING] Step 405: total=0.79 ms, inference=0.06 ms
[TIMING] Step 406: total=0.87 ms, inference=0.07 ms
[TIMING] Step 407: total=0.86 ms, inference=0.06 ms
[TIMING] Step 408: total=0.78 ms, inference=0.06 ms
[TIMING] Step 409: total=0.83 ms, inference=0.06 ms
[TIMING] Step 410: total=0.86 ms, inference=0.06 ms
[TIMING] Step 411: total=0.85 ms, inference=0.06 ms
[TIMING] Step 412: total=0.79 ms, inference=0.06 ms
[TIMING] Step 413: total=0.84 ms, inference=0.06 ms
[TIMING] Step 414: total=0.85 ms, inference=0.06 ms
[TIMING] Step 415: total=0.90 ms, inference=0.06 ms
[TIMING] Step 416: total=0.81 ms, inference=0.07 ms
[TIMING] Step 417: total=0.83 ms, inference=0.06 ms
[TIMING] Step 418: total=0.84 ms, inference=0.06 ms
[TIMING] Step 419: total=0.90 ms, inference=0.06 ms
[TIMING] Step 420: total=0.82 ms, inference=0.07 ms
[TIMING] Step 421: total=0.78 ms, inference=0.06 ms
[TIMING] Step 422: total=0.78 ms, inference=0.06 ms
[TIMING] Step 423: total=0.85 ms, inference=0.06 ms
[TIMING] Step 424: total=0.81 ms, inference=0.06 ms
[TIMING] Step 425: total=0.83 ms, inference=0.06 ms
[TIMING] Step 426: total=0.85 ms, inference=0.06 ms
[TIMING] Step 427: total=0.85 ms, inference=0.06 ms
[TIMING] Step 428: total=0.83 ms, inference=0.06 ms
[TIMING] Step 429: total=0.83 ms, inference=0.06 ms
[TIMING] Step 430: total=0.85 ms, inference=0.06 ms
[TIMING] Step 431: total=0.94 ms, inference=0.07 ms
[TIMING] Step 432: total=0.71 ms, inference=0.07 ms
[TIMING] Step 433: total=0.82 ms, inference=0.06 ms
[TIMING] Step 434: total=0.83 ms, inference=0.06 ms
[TIMING] Step 435: total=0.84 ms, inference=0.06 ms
[TIMING] Step 436: total=0.82 ms, inference=0.06 ms
[TIMING] Step 437: total=0.85 ms, inference=0.06 ms
[TIMING] Step 438: total=0.84 ms, inference=0.06 ms
[TIMING] Step 439: total=0.95 ms, inference=0.06 ms
[TIMING] Step 440: total=0.79 ms, inference=0.07 ms
[TIMING] Step 441: total=0.89 ms, inference=0.06 ms
[TIMING] Step 442: total=1.25 ms, inference=0.11 ms
[TIMING] Step 443: total=0.48 ms, inference=0.07 ms
[TIMING] Step 444: total=0.59 ms, inference=0.07 ms
[TIMING] Step 445: total=0.82 ms, inference=0.06 ms
[TIMING] Step 446: total=0.85 ms, inference=0.06 ms
[TIMING] Step 447: total=0.86 ms, inference=0.06 ms
[TIMING] Step 448: total=0.81 ms, inference=0.06 ms
[TIMING] Step 449: total=0.83 ms, inference=0.06 ms
[TIMING] Step 450: total=0.84 ms, inference=0.06 ms
[TIMING] Step 451: total=1.03 ms, inference=0.06 ms
[TIMING] Step 452: total=0.76 ms, inference=0.06 ms
[TIMING] Step 453: total=0.82 ms, inference=0.06 ms
[TIMING] Step 454: total=0.86 ms, inference=0.06 ms
[TIMING] Step 455: total=0.74 ms, inference=0.06 ms
[TIMING] Step 456: total=0.82 ms, inference=0.07 ms
[TIMING] Step 457: total=0.79 ms, inference=0.07 ms
[TIMING] Step 458: total=0.84 ms, inference=0.06 ms
[TIMING] Step 459: total=0.86 ms, inference=0.06 ms
[TIMING] Step 460: total=0.82 ms, inference=0.06 ms
[TIMING] Step 461: total=0.83 ms, inference=0.06 ms
